"","sampleID","uid","namedLocation","domainID","siteID","plotID","collectDate","sampleCode","kclSampleID","kclSampleCode","sampleCondition","ammoniumNAnalysisDate","kclAmmoniumNConc","ammoniumNRepNum","ammoniumNQF","ammoniumNRemarks","nitrateNitriteNAnalysisDate","kclNitrateNitriteNConc","nitrateNitriteNRepNum","nitrateNitriteNQF","nitrateNitriteNRemarks","laboratoryName","ammoniumNMethod","ammoniumNInstrument","ammoniumNAnalyzedBy","ammoniumNReviewedBy","nitrateNitriteNMethod","nitrateNitriteNInstrument","nitrateNitriteNAnalyzedBy","nitrateNitriteNReviewedBy","dataQF","publicationDate","release","soilFreshMass","kclVolume"
"15","BONA_071-O-37-8.5-20190916","d1d222b0-f864-4a4a-bdd8-c5bdfa7f7d20","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-09-16 19:00:00,"A00000101140","BONA_071-O-37-8.5-20190916-KCL","B00000046939","ok",2019-10-28,0.018,1,"OK",NA,2019-10-28,0.087,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.02,101
"16","BONA_071-O-39-31.5-20190826","d8b4ceb0-1ed6-498c-9033-42a0ec6540e7","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-08-26 20:22:00,"A00000103278","BONA_071-O-39-31.5-20190826-KCL","B00000046774","ok",2019-10-28,0.043,1,"OK",NA,2019-10-28,0.032,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,100
"17","BONA_071-O-39-31.5-20190916","3a6a99b2-6591-4c16-b293-170cc10e7ee3","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-09-16 18:45:00,"A00000101013","BONA_071-O-39-31.5-20190916-KCL","B00000046941","ok",2019-10-28,0.053,1,"OK",NA,2019-10-28,0.071,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.02,100
"18","BONA_071-O-6.5-19-20190826","1e2d34b1-2914-4146-9ab4-88c0b0d3069b","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-08-26 18:43:00,"A00000103276","BONA_071-O-6.5-19-20190826-KCL","B00000046778","ok",2019-10-28,0.082,1,"OK",NA,2019-10-28,0.103,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10,100
"19","BONA_071-O-6.5-19-20190916","45a22680-dc5e-4d23-888d-64ced6364586","BONA_071.basePlot.bgc","D19","BONA","BONA_071",2019-09-16 19:14:00,"A00000101021","BONA_071-O-6.5-19-20190916-KCL","B00000046937","ok",2019-10-28,0.075,1,"OK",NA,2019-10-28,0.075,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.04,100
"20","BONA_080-M-30-6-20190826","a8c483be-15a3-4246-acd6-be882fe748ea","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-08-27 00:01:00,"A00000100814","BONA_080-M-30-6-20190826-KCL","B00000046783","ok",2019-10-28,0.015,1,"OK",NA,2019-10-28,0.104,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",9.99,99
"21","BONA_080-M-5-9-20190826","85009027-e604-4bf0-8957-0e10b20b4641","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-08-26 22:23:00,"A00000100812","BONA_080-M-5-9-20190826-KCL","B00000046785","ok",2019-10-28,0.036,1,"OK",NA,2019-10-28,0.063,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.04,101
"22","BONA_080-M-5-9-20190916","56f53d18-63e0-4579-8605-44129e0756e9","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-09-16 20:05:00,"A00000101133","BONA_080-M-5-9-20190916-KCL","B00000046930","ok",2019-10-28,0.013,1,"OK",NA,2019-10-28,0.039,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.05,100
"23","BONA_080-M-8.5-24-20190826","8bc250c5-ec9d-4c30-b0ae-862bf9f082f0","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-08-26 23:09:00,"A00000100813","BONA_080-M-8.5-24-20190826-KCL","B00000046779","ok",2019-10-28,0.031,1,"OK",NA,2019-10-28,0.09,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.04,100
"24","BONA_080-M-8.5-24-20190916","984b01d6-5e89-4a9a-b180-cf85bbca5fce","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-09-16 19:54:00,"A00000101134","BONA_080-M-8.5-24-20190916-KCL","B00000046934","ok",2019-10-28,0.049,1,"OK",NA,2019-10-28,0.067,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.04,100
"25","BONA_080-O-30-6-20190826","4cc3ccea-ac76-450e-b2d3-f30030a61300","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-08-26 23:59:00,"A00000103280","BONA_080-O-30-6-20190826-KCL","B00000046784","ok",2019-10-28,0.025,1,"OK",NA,2019-10-28,0.065,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",9.98,101
"26","BONA_080-O-30-6-20190916","44c8d2dc-9c19-403b-a9c0-9141d7b6ac76","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-09-16 19:42:00,"A00000101137","BONA_080-O-30-6-20190916-KCL","B00000046933","ok",2019-10-28,0.033,1,"OK",NA,2019-10-28,0.1,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.04,100
"27","BONA_080-O-5-9-20190826","56dc9477-3fd2-4173-b910-23abc4b466f5","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-08-26 22:21:00,"A00000103279","BONA_080-O-5-9-20190826-KCL","B00000046782","ok",2019-10-28,0.042,1,"OK",NA,2019-10-28,0.053,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",9.98,100
"28","BONA_080-O-5-9-20190916","8ffd9951-2cbd-4435-b701-0305a9775b02","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-09-16 20:05:00,"A00000101136","BONA_080-O-5-9-20190916-KCL","B00000046931","ok",2019-10-28,0.05,1,"OK",NA,2019-10-28,0.027,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.02,100
"29","BONA_080-O-8.5-24-20190826","c96d7520-4de8-4586-a42e-750a1359d4fc","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-08-26 23:09:00,"A00000103281","BONA_080-O-8.5-24-20190826-KCL","B00000046780","ok",2019-10-28,0.03,1,"OK",NA,2019-10-28,0.046,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",9.99,99
"30","BONA_080-O-8.5-24-20190916","09cc743d-3919-4141-b361-f228c9d41ddd","BONA_080.basePlot.bgc","D19","BONA","BONA_080",2019-09-16 19:54:00,"A00000101135","BONA_080-O-8.5-24-20190916-KCL","B00000046935","ok",2019-10-28,0.022,1,"OK",NA,2019-10-28,0.029,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.04,100
"31","BONA_084-M-13.5-34-20190830","a0d00124-fc59-4545-a052-f398bad54028","BONA_084.basePlot.bgc","D19","BONA","BONA_084",2019-08-31 00:26:00,"A00000100815","BONA_084-M-13.5-34-20190830-KCL","B00000046791","ok",2019-10-28,0.068,1,"OK",NA,2019-10-28,0.067,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.02,100
"32","BONA_084-M-13.5-34-20190916","6fe7d0b6-a03a-418d-99b8-1c9877a4deff","BONA_084.basePlot.bgc","D19","BONA","BONA_084",2019-09-16 20:04:00,"A00000101141","BONA_084-M-13.5-34-20190916-KCL","B00000046926","ok",2019-10-28,0.022,1,"OK",NA,2019-10-28,0.087,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.01,100
"33","BONA_084-M-20.5-9.5-20190830","c6b8c8c7-b387-4443-bd46-5e508130fa26","BONA_084.basePlot.bgc","D19","BONA","BONA_084",2019-08-30 23:33:00,"A00000100817","BONA_084-M-20.5-9.5-20190830-KCL","B00000046789","ok",2019-10-28,0.038,1,"OK",NA,2019-10-28,0.085,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,100
"34","BONA_084-M-20.5-9.5-20190916","8796a950-a59a-4980-a5ce-112ad56d9971","BONA_084.basePlot.bgc","D19","BONA","BONA_084",2019-09-16 19:52:00,"A00000101145","BONA_084-M-20.5-9.5-20190916-KCL","B00000046928","ok",2019-10-28,0.014,1,"OK",NA,2019-10-28,0.044,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T122012Z","RELEASE-2021",10.05,100
"35","BONA_084-M-5-10.5-20190830","47edb702-ccd9-4640-b138-e2a735622560","BONA_084.basePlot.bgc","D19","BONA","BONA_084",2019-08-30 11:30:00,"A00000100816","BONA_084-M-5-10.5-20190830-KCL","B00000046787","ok",2019-10-28,0.045,1,"OK",NA,2019-10-28,0.023,1,"OK",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-AN-020","Bran+Luebbe AutoAnalyzer II","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==","WBL-AN-008","Bran+Luebbe AutoAnalyzer 3","/RBmT99ty+tXsqfXzuuuWg==","8kr+qfmeu1FQ7vvHWE7F/A==",NA,"20201218T121408Z","RELEASE-2021",10.01,100
